"iata","name","city","country","latitude","longitude","source_type","scheduled_service","proposed_demand_index","proposed_airport_tax","review_note"
"FMO","Münster Osnabrück Airport","Greven","Germany","52.133816","7.688482","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HAM","Hamburg Helmut Schmidt Airport","Hamburg","Germany","53.630402","9.98823","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HAJ","Hannover Airport","Hannover","Germany","52.461102","9.68508","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CGN","Cologne Bonn Airport","Köln (Cologne)","Germany","50.865898","7.14274","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"FMM","Memmingen Allgau Airport","Memmingen","Germany","47.988092","10.238248","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NUE","Nuremberg Airport","Nuremberg","Germany","49.498699","11.078056","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"FKB","Karlsruhe Baden-Baden Airport","Rheinmünster","Germany","48.7794","8.0805","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"LEJ","Leipzig/Halle Airport","Schkeuditz","Germany","51.420657","12.232705","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"STR","Stuttgart Airport","Stuttgart","Germany","48.689899","9.22196","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"NRN","Weeze (Niederrhein) Airport","Weeze","Germany","51.601362","6.141228","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"ACC","Kotoka International Airport","Accra","Ghana","5.605189800262451","-0.16678600013256073","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KMS","Prempeh I International Airport","Kumasi","Ghana","6.71456","-1.59082","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"TML","Yakubu Tali International Airport","Tamale","Ghana","9.553909","-0.86606","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GIB","Gibraltar Airport","Gibraltar","Gibraltar","36.151679","-5.34978","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"HER","Heraklion International Nikos Kazantzakis Airport","Heraklion","Greece","35.339699","25.1803","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KVA","Kavala Alexander the Great International Airport","Kavala","Greece","40.9133","24.6192","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CFU","Corfu Ioannis Kapodistrias International Airport","Kerkyra (Corfu)","Greece","39.60145","19.912179","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"KGS","Kos International Airport ""Ippokratis""","Kos Island","Greece","36.794523","27.09115","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"RHO","Rhodes International Airport ""Diagoras""","Rhodes","Greece","36.405399","28.086201","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"JTR","Santorini International Airport","Santorini Island","Greece","36.400045","25.478638","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"CHQ","Chania International Airport","Souda","Greece","35.531207","24.150673","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"SKG","Thessaloniki Macedonia International Airport","Thessaloniki","Greece","40.51928","22.970009","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GOH","Nuuk International Airport","Nuuk","Greenland","64.191066","-51.67914","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GND","Maurice Bishop International Airport","Saint George's","Grenada","12.003996","-61.785302","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"PTP","Maryse Condé International Airport","Pointe-à-Pitre","Guadeloupe","16.265443","-61.532754","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GUM","Antonio B. Won Pat International Airport","Hagåtña","Guam","13.485","144.797282","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
"GUA","La Aurora International Airport","Guatemala City","Guatemala","14.582896","-90.527515","large_airport","yes","82","1050.00","AUTO_PROPOSED_FROM_OURAIRPORTS_LARGE_SCHEDULED"
