"iata","name","city","country","latitude","longitude","source_type","scheduled_service","reviewed_demand_index","reviewed_airport_tax","review_note"
"GAU","Lokpriya Gopinath Bordoloi International Airport","Guwahati","India","26.106654","91.585226","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"IMF","Bir Tikendrajit International Airport","Imphal","India","24.76","93.896698","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"VTZ","Visakhapatnam International Airport","Visakhapatnam","India","17.723506","83.227729","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"CGP","Shah Amanat International Airport","Chattogram (Chittagong)","Bangladesh","22.249599","91.813301","large_airport","yes","68","850.00","REVIEWED_COUNTRY_FALLBACK"
"DAC","Hazrat Shahjalal International Airport","Dhaka","Bangladesh","23.843347","90.397783","large_airport","yes","68","850.00","REVIEWED_COUNTRY_FALLBACK"
"ZYL","Osmany International Airport","Sylhet","Bangladesh","24.963071","91.866903","large_airport","yes","68","850.00","REVIEWED_COUNTRY_FALLBACK"
"ATQ","Sri Guru Ram Das Ji International Airport","Amritsar","India","31.7096","74.797302","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"IXC","Shaheed Bhagat Singh International Airport","Chandigarh","India","30.6735","76.788498","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"HSS","Maharaja Agrasen International Airport","Hisar","India","29.186065","75.74142","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"HWR","Halwara International Airport","Halwara","India","30.748501","75.629799","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"SXR","Sheikh ul Alam International Airport","Srinagar","India","33.987099","74.7742","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"BWA","Gautam Buddha International Airport","Siddharthanagar (Bhairahawa)","Nepal","27.504636","83.410381","large_airport","yes","52","700.00","REVIEWED_COUNTRY_FALLBACK"
"KTM","Tribhuvan International Airport","Kathmandu","Nepal","27.6966","85.3591","large_airport","yes","52","700.00","REVIEWED_COUNTRY_FALLBACK"
"VGA","Vijayawada International Airport","Vijayawada","India","16.530011","80.804888","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"CJB","Coimbatore International Airport","Coimbatore","India","11.03","77.043404","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"CCJ","Calicut International Airport","Calicut","India","11.135996","75.955152","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"GOX","Manohar International Airport","Mopa","India","15.744257","73.860625","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"CNN","Kannur International Airport","Kannur","India","11.916343","75.544979","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"IXE","Mangaluru International Airport","Mangaluru","India","12.95471","74.886812","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"IXZ","Veer Savarkar International Airport / INS Utkrosh","Port Blair","India","11.640194","92.72902","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"TIR","Tirupati International Airport","Tirupati","India","13.631988","79.539869","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"TRZ","Tiruchirappalli International Airport","Tiruchirappalli","India","10.762915","78.717741","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"TRV","Thiruvananthapuram International Airport","Thiruvananthapuram","India","8.481889","76.920029","large_airport","yes","78","1000.00","REVIEWED_COUNTRY_BLEND"
"PBH","Paro International Airport","Paro","Bhutan","27.4032","89.424599","large_airport","yes","45","650.00","REVIEWED_COUNTRY_FALLBACK"
"CEI","Mae Fah Luang - Chiang Rai International Airport","Chiang Rai","Thailand","19.952299","99.882896","large_airport","yes","76","1000.00","REVIEWED_COUNTRY_BLEND"
"BDJ","Syamsudin Noor International Airport","Banjarbaru","Indonesia","-3.440112","114.761209","large_airport","yes","66","850.00","REVIEWED_COUNTRY_BLEND"
"SOC","Adisoemarmo International Airport","Surakarta","Indonesia","-7.516044","110.757492","large_airport","yes","66","850.00","REVIEWED_COUNTRY_BLEND"
"OOL","Gold Coast Airport","Gold Coast","Australia","-28.165962","153.506641","large_airport","yes","75","1000.00","REVIEWED_COUNTRY_BLEND"
"CNS","Cairns International Airport","Cairns","Australia","-16.878921","145.74948","large_airport","yes","75","1000.00","REVIEWED_COUNTRY_BLEND"
"BME","Broome International Airport","Broome","Australia","-17.949194","122.2283","large_airport","yes","75","1000.00","REVIEWED_COUNTRY_BLEND"
"MCY","Sunshine Coast Airport","Maroochydore","Australia","-26.593324","153.08319","large_airport","yes","75","1000.00","REVIEWED_COUNTRY_BLEND"
"WTB","Toowoomba Wellcamp Airport","Toowoomba","Australia","-27.558332","151.793335","large_airport","yes","75","1000.00","REVIEWED_COUNTRY_BLEND"
"AVV","Melbourne Avalon International Airport","Geelong/Melbourne","Australia","-38.040269","144.467196","large_airport","yes","75","1000.00","REVIEWED_COUNTRY_BLEND"
"HBA","Hobart International Airport","Hobart (Cambridge)","Australia","-42.837032","147.513022","large_airport","yes","75","1000.00","REVIEWED_COUNTRY_BLEND"
"DRW","Darwin International Airport / RAAF Darwin","Darwin","Australia","-12.41497","130.88185","large_airport","yes","75","1000.00","REVIEWED_COUNTRY_BLEND"
"PHE","Port Hedland International Airport","Port Hedland","Australia","-20.382787","118.629789","large_airport","yes","75","1000.00","REVIEWED_COUNTRY_BLEND"
"WSI","[Duplicate] Western Sydney International Airport","Sydney","Australia","-33.88806","150.71472","large_airport","yes","75","1000.00","REVIEWED_COUNTRY_BLEND"
"NTL","Newcastle Airport","Williamtown","Australia","-32.796114","151.835025","large_airport","yes","75","1000.00","REVIEWED_COUNTRY_BLEND"
"DSN","Ordos Ejin Horo International Airport","Ordos","China","39.493514","109.8599","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"DAT","Datong Yungang International Airport","Datong","China","40.06139","113.480509","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"HET","Hohhot Baita International Airport","Hohhot","China","40.849658","111.824598","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"HLD","Hulunbuir Hailar Airport","Hailar","China","49.208616","119.822301","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"BAV","Baotou Donghe International Airport","Baotou","China","40.560001","109.997002","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"SJW","Shijiazhuang Zhengding International Airport","Shijiazhuang","China","38.280701","114.696999","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"TSN","Tianjin Binhai International Airport","Tianjin","China","39.124401092499994","117.346000671","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"YCU","Yuncheng Yanhu International Airport","Yuncheng (Yanhu)","China","35.117823","111.034023","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"TYN","Taiyuan Wusu International Airport","Taiyuan","China","37.746899","112.627998","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"DYG","Zhangjiajie Hehua International Airport","Zhangjiajie (Yongding)","China","29.104749","110.442786","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"CSX","Changsha Huanghua International Airport","Changsha (Changsha)","China","28.189199","113.220001","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"KWL","Guilin Liangjiang International Airport","Guilin (Lingui)","China","25.219828","110.039553","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"NNG","Nanning Wuxu International Airport","Nanning (Jiangnan)","China","22.598071","108.181922","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
"SWA","Jieyang Chaoshan International Airport","Jieyang (Rongcheng)","China","23.552","116.5033","large_airport","yes","87","1150.00","REVIEWED_COUNTRY_BLEND"
